incubation,time,total_C_umol,delta_13C,Fract13_CO2,perc_13C,D13C_CO2_perc,excess_13CO2_umol,excess_13C_kill_umol,Net_excess_13C_umol
PP,24,353.6448668583406,154.88,0.012746526723156983,1.2746526723156983,0.18075318488145542,0.6392243600162333,0.5039444570464273,0.4058397089094179
PP,24,340.58146808257084,159.68,0.012798826748659812,1.2798826748659813,0.18598318743173836,0.6334242701417738,0.5039444570464273,0.3884394392860395
PP,24,339.6483681700158,157.35,0.012773440136694287,1.2773440136694287,0.1834445262351858,0.623066339855025,0.5039444570464273,0.3573656484257931
PP,24,348.9793672955656,165.71,0.012864520803169197,1.2864520803169197,0.1925525928826768,0.6719688203531717,0.5039444570464273,0.5040730899202333
PP,24,340.58146808257084,159.52,0.0127970835037517,1.27970835037517,0.18580886294092713,0.6328305532317415,0.5039444570464273,0.38665828855594264
PP,72,373.91232956282806,221.87,0.013475938314467556,1.3475938314467557,0.2536943440125128,0.9485944316663216,0.5061974192826685,1.3271910371509594
PP,72,386.2005281869586,212.7,0.013376155682484115,1.3376155682484114,0.2437160808141685,0.9412327913808736,0.5061974192826685,1.3051061162946151
PP,72,370.40141567021936,217.5,0.0134283890214878,1.34283890214878,0.24893941471453718,0.9220751162638041,0.5061974192826685,1.247633090943407
PP,72,368.645958723915,214.79,0.013398899628655894,1.3398899628655894,0.24599047543134644,0.9068339465234037,0.5061974192826685,1.2019095817222056
PP,72,371.27914414337147,203.04,0.013271019319935361,1.3271019319935362,0.2332024445592933,0.86583204028116445,0.5061974192826685,1.078903862995488
PP,96,352.9142813674765,222.7,0.013484968897946568,1.3484968897946568,0.25459740236041384,0.8985105929205172,0.507323900400789,1.1735600775591846
PP,96,363.1436808274034,217.79,0.013431544608555102,1.3431544608555102,0.24925497342126723,0.9051536851273558,0.507323900400789,1.1934893541797005
PP,96,392.1269792971961,222.66,0.013484533692896093,1.3484533692896092,0.2545538818553663,0.9981744476032013,0.507323900400789,1.4725516416072368
PP,96,360.58633096242164,224.29,0.013502267987716901,1.35022679877169,0.25632731133744713,0.924281247206324,0.507323900400789,1.250872040416605
PP,96,352.9142813674765,209.16,0.013337630051156209,1.3337630051156208,0.23986351768137792,0.8465126096879848,0.507323900400789,1.0175661278615875
PP,192,347.0677213849677,221.7,0.013474088656487925,1.3474088656487926,0.25350937821454966,0.8798492224664372,0.5118298248732712,1.104058192779498
PP,192,375.35297621149596,209.38,0.013340024387110936,1.3340024387110936,0.24010295127685066,0.901233573589297,0.5118298248732712,1.1682112461480774
PP,192,389.87783679809144,221.32,0.013469954101806517,1.3469954101806518,0.2530959227464089,0.9867649086278677,0.5118298248732712,1.4248052512637894
PP,192,384.52657237145104,227.74,0.013539801662215797,1.3539801662215796,0.26008067878733665,1.000079319541349,0.5118298248732712,1.4647484840042337
PP,192,369.23724543819253,215.49,0.013406516983867288,1.340651698386729,0.246752210952486,0.9111010667787973,0.5118298248732712,1.1978137257165784
PP,216,368.9009681339269,236.31,0.013633025127424113,1.3633025127424112,0.2694030253081683,0.9938303685439209,0.5129563059913917,1.4426221876575875
PP,216,358.4674053988259,230.28,0.013567433324715243,1.3567433324715243,0.2628438450372814,0.9422095115556534,0.5129563059913917,1.2877596166927847
PP,216,370.3914770960842,238.03,0.013651732964794414,1.3651732964794414,0.2712738090451985,1.0047750682973215,0.5129563059913917,1.4754562869177894
PP,216,374.86300398255605,238.58,0.01365771497235311,1.365771497235311,0.27187200980106807,1.019147582928033,0.5129563059913917,1.5185738308099237
PP,216,376.3535129447133,217.54,0.013428824276076546,1.3428824276076545,0.2489829401734116,0.9370560419756684,0.5129563059913917,1.27229920795283
PP,240,351.1367809390918,250.86,0.01379125799341858,1.379125799341858,0.28522631190761505,1.001534490023693,0.5140827871095124,1.4623551087425422
PP,240,351.1367809390918,242.47,0.013700022009015359,1.3700022009015358,0.27610271346729287,0.9694981801545365,0.5140827871095124,1.3662461791350724
PP,240,352.59076346886025,241.6,0.0136905603390378,1.36905603390378,0.27515654646953713,0.9701765679314901,0.5140827871095124,1.368281342465933
PP,240,364.9496149718925,250.7,0.013789518251712603,1.3789518251712602,0.2850523377370173,1.0402974090396235,0.5140827871095124,1.5786438657903334
PP,240,359.8606761177028,232.31,0.013589515784565884,1.3589515784565884,0.2650520910223455,0.9538182468171216,0.5140827871095124,1.3192063791228277
PP,264,361.1905366385053,246.84,0.013747545122714857,1.3747545122714857,0.2808550248372428,1.0144217713858446,0.5152092682276329,1.497637509474635
PP,264,374.6730910513375,239.51,0.013667829838242085,1.3667829838242085,0.27288349638996556,1.022421030893249,0.5152092682276329,1.5216352879968484
PP,264,391.7036860991255,247.08,0.013750154955106572,1.3750154955106573,0.28111600807641435,1.1011417658500302,0.5152092682276329,1.757797492867192
PP,264,398.0901592420461,251.83,0.013801805046107986,1.3801805046107987,0.28628101717655574,1.1396565571579003,0.5152092682276329,1.8733418667908022
PP,264,376.0923073053199,218.85,0.013443078651613306,1.3443078651613305,0.25040837772708757,0.9417666454796243,0.5152092682276329,1.2796721317559743
PP,336,350.2751917439874,261.67,0.013908785077635764,1.3908785077635764,0.29697902032933343,1.0402438328979882,0.5185887115819946,1.5649653639479806
PP,336,368.81527750737433,251.47,0.013797890702363634,1.3797890702363635,0.2858895828021206,1.054404458176316,0.5185887115819946,1.6074472397829638
PP,336,366.16669382689037,258.92,0.013878889539887184,1.3878889539887185,0.29398946655447555,1.0764915098818348,0.5185887115819946,1.6737083948995206
PP,336,384.04463367015626,262.05,0.013912915954855266,1.3912915954855265,0.2973921080512836,1.1421184319295072,0.5185887115819946,1.8705891610425378
PP,336,369.4774234274951,242.86,0.013704263388353776,1.3704263388353777,0.27652685140113475,1.0217042856420908,0.5185887115819946,1.5093467221802888
PP,360,364.6640561229928,262.92,0.013922373359217727,1.3922373359217728,0.29833784848752987,1.0879308992446952,0.5197151927001151,1.7046471196337403
PP,360,373.73207883297835,256.66,0.01385431948638705,1.385431948638705,0.2915324612044621,1.0895503277323824,0.5197151927001151,1.7095054050968017
PP,360,358.18689704443153,260.45,0.013895522553684264,1.3895522553684263,0.2956527679341834,1.0589894754894256,0.5197151927001151,1.6178228483679313
PP,360,374.3797947408344,264.21,0.013936396073157052,1.3936396073157051,0.2997401198814622,1.1221664455681493,0.5197151927001151,1.8073537586041024
PP,360,370.4934992936978,245.02,0.01372775344420975,1.372775344420975,0.278875856986732,1.0332169212354316,0.5197151927001151,1.5405051856059495
PP,384,367.66576594718464,262.41,0.013916829385559134,1.3916829385559133,0.2977834511216704,1.0948478064304497,0.5208416738182357,1.7220183978366421
PP,384,397.4593711187669,257.31,0.01386138622012454,1.386138622012454,0.29223913457821116,1.161531826457485,0.5208416738182357,1.9220704579177479
PP,384,384.7812412585191,259.88,0.01388932600628197,1.388932600628197,0.2950331131939541,1.1352320750713483,0.5208416738182357,1.8431712037593377
PP,384,403.7984360488908,258.84,0.013878019824382738,1.3878019824382737,0.29390249500403076,1.1867736783349456,0.5208416738182357,1.99779601355013
PP,384,349.9163841428377,235.11,0.013619972727592038,1.3619972727592038,0.26809778532496087,0.9381180763761305,0.5208416738182357,1.2518292076736848
PP,408,387.30337335909024,214.03,0.013390629224101929,1.3390629224101929,0.24516343497594995,0.9495262539048739,0.5219681549363562,1.2826742969055531
PP,408,395.9928721203518,201.32,0.013252297037827161,1.325229703782716,0.23133021634847317,0.9160511678005426,0.5219681549363562,1.1822490385925595
PP,408,391.648122739721,200.14,0.013239452270585468,1.3239452270585468,0.23004573962430386,0.9009698206812925,0.5219681549363562,1.137004997234809
PP,408,400.9582999839299,214.96,0.01340074956859295,1.3400749568592951,0.2461754694250522,0.9870609771841485,0.5219681549363562,1.395278466743377
PP,408,384.1999809443539,205.43,0.013297033404568635,1.3297033404568634,0.23580385302262052,0.9059583583789604,0.5219681549363562,1.1519706103278127
PP,432,369.66151763333244,252.98,0.013814308991566672,1.381430899156667,0.28753141172242414,1.0628929802456586,0.5230946360544768,1.6193950325735453
PP,432,381.21344005937414,250.22,0.013784298989766158,1.378429898976616,0.284530411542373,1.0846681698557747,0.5230946360544768,1.6847206014038938
PP,432,358.7175911244509,209.32,0.013339371387548477,1.3339371387548478,0.24003765132060484,0.8610572806089823,0.5230946360544768,1.0138879336635167
PP,432,381.21344005937414,259.11,0.013880955108061869,1.388095510806187,0.29419602337194406,1.1215147812140682,0.5230946360544768,1.7952604354787742
PP,432,362.97356254457156,241.22,0.013686427598637554,1.3686427598637554,0.27474327242951246,0.9972454437889391,0.5230946360544768,1.4224524232033868
PP,504,336.867065869125,256.62,0.013853884607156614,1.3853884607156615,0.29148897328141854,0.9819303516251523,0.5264740794088385,1.3663688166489414
PP,504,370.0954499174401,264,0.013934113332949591,1.3934113332949591,0.2995118458607162,1.1084797134942472,0.5264740794088385,1.7460169022562262
PP,504,371.81415943718054,268.76,0.013985852849153407,1.3985852849153408,0.3046857974810979,1.1328649368288144,0.5264740794088385,1.8191725722599277
PP,504,373.532868956921,265.73,0.013952918449080684,1.3952918449080685,0.30139235747382553,1.1257995196888795,0.5264740794088385,1.797976320840123
PP,504,361.50190231873785,248.87,0.013769619519360624,1.3769619519360625,0.2830624645018196,1.02327619392438,0.5264740794088385,1.4904063435466244
PP,552,374.04875346093036,267.87,0.013976179276676713,1.3976179276676712,0.3037184402334283,1.1360550397241194,0.5287270416450796,1.8219839942371194
PP,552,364.66994990807507,263.6,0.013929765227125043,1.3929765227125044,0.29907703527826146,1.0906440747357922,0.5287270416450796,1.6857510992721378
PP,552,371.29028182773754,265.9,0.01395476631196184,1.3954766311961841,0.3015771437619412,1.1197266270017527,0.5287270416450796,1.7729987560700196
PP,552,372.3936704810147,266.37,0.013959875073296272,1.3959875073296273,0.30208801989538436,1.1249566653718397,0.5287270416450796,1.7886888711802804
PP,552,379.5656967273157,249.6,0.013777557361322969,1.377755736132297,0.28385624869805404,1.0774209480747907,0.5287270416450796,1.6460817192891335
PP,600,378.7939295170439,268.26,0.013980418281238161,1.398041828123816,0.30414234068957313,1.1520727236231494,0.5309800038813207,1.863278159225486
PP,600,393.69032000366917,260.95,0.013900958057463657,1.3900958057463657,0.2961963183121228,1.1660962334020828,0.5309800038813207,1.9053486885622863
PP,600,379.3259434629948,267.2,0.013968896799131398,1.3968896799131398,0.3029901924788969,1.1493204062209197,0.5309800038813207,1.855021207018797
PP,600,386.7741387063075,262.82,0.013921286310472472,1.3921286310472472,0.29822914361300423,1.153473201580394,0.5309800038813207,1.8674795930972197
PP,600,386.7741387063075,252.75,0.013811808227840878,1.3811808227840878,0.2872813353498449,1.1111299104633414,0.5309800038813207,1.7404497197460622
PP,696,339.1928913908656,274.91,0.014052693134784765,1.4052693134784764,0.31136982604423347,1.056144315878144,0.5354859283538029,1.5619751625730234
PP,696,378.9226590501179,266.14,0.013957375047768115,1.3957375047768115,0.30183801734256854,1.1437326413386166,0.5354859283538029,1.824740138954441
PP,696,364.52061827363895,251.52,0.013798434363075167,1.3798434363075167,0.2859439488732738,1.0423246503489156,0.5354859283538029,1.5205161659853381
PP,696,363.030751986417,273.35,0.014035739383550374,1.4035739383550374,0.3096744509207945,1.124213487887568,0.5354859283538029,1.7661826786012953
PP,696,367.99697294382355,252.26,0.013806480471524005,1.3806480471524005,0.2867485597181576,1.055226019722832,0.5354859283538029,1.5592202741070873
