Sample_ID,incubation,timepoint,time,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
Kill_13C_PE_1_T0,Kill_13C_PE,T0,0,34.2,100,22,1,0,118.199,614.8229612761286,0.061482296127612864,0.002505365848760786,2.505365848760786,287.7035562730628,290.2089221218236
Kill_13C_PE_1_T1,Kill_13C_PE,T1,96,35.5,100,22,1,0,128.537,638.1934247164492,0.06381934247164492,0.0026005990535382423,2.600599053538242,294.7142965760516,297.31489562958984
Kill_13C_PE_1_T2,Kill_13C_PE,T2,168,36.1,100,22,1,0,125.56,648.9797924581356,0.06489797924581357,0.002644552840358607,2.644552840358607,296.7697967018842,299.4143495422428
Kill_13C_PE_1_T3,Kill_13C_PE,T3,264,39.7,100,22,1,0,126.422,713.6979989082545,0.07136979989082545,0.002908275561280795,2.908275561280795,322.1712447322369,325.0795202935177
Kill_13C_PE_1_T4,Kill_13C_PE,T4,336,37.3,100,22,1,0,126.403,670.5525279415085,0.06705525279415085,0.002732460413999336,2.7324604139993363,299.80583615128796,302.5382965652873
Kill_13C_PE_1_T5,Kill_13C_PE,T5,432,45,100,22,1,0,124.489,808.977580626485,0.0808977580626485,0.0032965340115273497,3.2965340115273496,357.15096181398803,360.4474958255154
Kill_13C_PE_1_T6,Kill_13C_PE,T6,504,39.3,100,22,1,0,124.25,706.5070870804634,0.07065070870804635,0.002878973036733885,2.878973036733885,308.99966329598334,311.87863633271724
Kill_13C_PE_1_T7,Kill_13C_PE,T7,600,42.3,100,22,1,0,125.921,760.4389257888957,0.07604389257888958,0.003098741970835708,3.0987419708357082,328.4980446327913,331.596786603627
Kill_13C_PE_1_T8,Kill_13C_PE,T8,672,43.7,100,22,1,0,108.115,785.6071171861643,0.07856071171861644,0.0032013008067498933,3.2013008067498934,336.26933232762553,339.4706331343754
Kill_13C_PE_1_T9,Kill_13C_PE,T9,768,44.9,100,22,1,0,117.897,807.1798526695371,0.08071798526695372,0.003289208380390622,3.289208380390622,341.3445692497939,344.6337776301845
Kill_13C_PE_2_T0,Kill_13C_PE,T0,0,33.4,100,22,1,0,126.041,600.4411376205466,0.06004411376205466,0.002446760799666966,2.446760799666966,280.9736485239853,283.4204093236522
Kill_13C_PE_2_T1,Kill_13C_PE,T1,96,33.5,100,22,1,0,129.194,602.2388655774943,0.06022388655774943,0.0024540864308036934,2.4540864308036934,278.1106742337388,280.56476066454246
Kill_13C_PE_2_T2,Kill_13C_PE,T2,168,32.6,100,22,1,0,128.668,586.0593139649646,0.05860593139649647,0.0023881557505731465,2.3881557505731466,267.9971017307874,270.38525748136055
Kill_13C_PE_2_T3,Kill_13C_PE,T3,264,35.7,100,22,1,0,128.644,641.7888806303447,0.06417888806303447,0.002615250315811697,2.615250315811697,289.7106659179057,292.3259162337174
Kill_13C_PE_2_T4,Kill_13C_PE,T4,336,31.8,100,22,1,0,130.157,571.6774903093827,0.05716774903093828,0.0023295507014793274,2.3295507014793273,255.59854127643322,257.9280919779126
Kill_13C_PE_2_T5,Kill_13C_PE,T5,432,39.6,100,22,1,0,127.309,711.9002709513068,0.07119002709513068,0.002900949930144068,2.900949930144068,314.2928463963095,317.1937963264536
Kill_13C_PE_2_T6,Kill_13C_PE,T6,504,32.1,100,22,1,0,123.784,577.070674180226,0.0577070674180226,0.0023515275948895096,2.3515275948895096,252.38903795931466,254.74056555420418
Kill_13C_PE_2_T7,Kill_13C_PE,T7,600,39,100,22,1,0,129.666,701.1139032096203,0.07011139032096203,0.002856996143323703,2.8569961433237028,302.8705376047012,305.72753374802494
Kill_13C_PE_2_T8,Kill_13C_PE,T8,672,35.4,100,22,1,0,123.046,636.3956967595014,0.06363956967595015,0.002593273422401515,2.593273422401515,272.4012440365662,274.9945174589677
Kill_13C_PE_2_T9,Kill_13C_PE,T9,768,37.3,100,22,1,0,126.851,670.5525279415085,0.06705525279415085,0.002732460413999336,2.7324604139993363,283.56686933223415,286.29932974623347
Kill_13C_PE_3_T0,Kill_13C_PE,T0,0,40.8,100,22,1,0,129.302,733.4730064346796,0.07334730064346796,0.0029888575037847966,2.9888575037847964,343.22529520295205,346.21415270673685
Kill_13C_PE_3_T1,Kill_13C_PE,T1,96,34.4,100,22,1,0,130.352,618.418417190024,0.0618418417190024,0.0025200171110342402,2.52001711103424,285.58230428777955,288.1023213988138
Kill_13C_PE_3_T2,Kill_13C_PE,T2,168,51.6,100,22,1,0,129.649,927.627625785036,0.0927627625785036,0.0037800256665513608,3.780025666551361,424.1917315738844,427.97175724043575
Kill_13C_PE_3_T3,Kill_13C_PE,T3,264,34.2,100,22,1,0,129.581,614.8229612761286,0.061482296127612864,0.002505365848760786,2.505365848760786,277.5379488625316,280.0433147112924
Kill_13C_PE_3_T4,Kill_13C_PE,T4,336,33.1,100,22,1,0,128.738,595.0479537497033,0.05950479537497033,0.0024247839062567834,2.4247839062567835,266.0475382468534,268.47232215311016
Kill_13C_PE_3_T5,Kill_13C_PE,T5,432,36.2,100,22,1,0,129.77,650.7775204150835,0.06507775204150835,0.002651878471495335,2.6518784714953347,287.3081070592526,289.95998553074793
Kill_13C_PE_3_T6,Kill_13C_PE,T6,504,33,100,22,1,0,125.151,593.2502257927556,0.05932502257927556,0.0024174582751200564,2.4174582751200564,259.46536612639824,261.8828244015183
Kill_13C_PE_3_T7,Kill_13C_PE,T7,600,39.5,100,22,1,0,130.728,710.1025429943589,0.0710102542994359,0.00289362429900734,2.89362429900734,306.7534932150179,309.64711751402524
Kill_13C_PE_3_T8,Kill_13C_PE,T8,672,35.7,100,22,1,0,116.258,641.7888806303447,0.06417888806303447,0.002615250315811697,2.615250315811697,274.7097291555201,277.3249794713318
Kill_13C_PE_3_T9,Kill_13C_PE,T9,768,39.1,100,22,1,0,126.106,702.911631166568,0.0702911631166568,0.00286432177446043,2.8643217744604303,297.251061417972,300.11538319243243
Kill_13C_PP_1_T0,Kill_13C_PP,T0,0,46.5,100,22,1,0,126.432,835.9434999807011,0.08359434999807011,0.0034064184785782613,3.4064184785782614,271.59179736511925,274.9982158436975
Kill_13C_PP_1_T1,Kill_13C_PP,T1,96,54.8,100,22,1,0,136.438,985.1549204073638,0.09851549204073638,0.004014445862926638,4.014445862926638,316.01385843946287,320.02830430238953
Kill_13C_PP_1_T2,Kill_13C_PP,T2,168,35.7,100,22,1,0,143.486,641.7888806303447,0.06417888806303447,0.002615250315811697,2.615250315811697,203.93231547902138,206.54756579483308
Kill_13C_PP_1_T3,Kill_13C_PP,T3,264,48.4,100,22,1,0,142.298,870.1003311627081,0.08701003311627081,0.003545605470176082,3.5456054701760817,273.0523774298,276.5979828999761
Kill_13C_PP_1_T4,Kill_13C_PP,T4,336,58.4,100,22,1,0,150.64,1049.8731268574827,0.10498731268574828,0.0042781685838488275,4.278168583848828,326.4332666902882,330.711435274137
Kill_13C_PP_1_T5,Kill_13C_PP,T5,432,41.4,100,22,1,0,147.845,744.2593741763661,0.07442593741763662,0.0030328112906051617,3.032811290605162,228.6021964679262,231.63500775853137
Kill_13C_PP_1_T6,Kill_13C_PP,T6,504,35.6,100,22,1,0,134.011,639.991152673397,0.0639991152673397,0.00260792468467497,2.60792468467497,194.8031471151574,197.41107179983237
Kill_13C_PP_1_T7,Kill_13C_PP,T7,600,38.5,100,22,1,0,150.657,692.1252634248815,0.06921252634248816,0.002820367987640066,2.820367987640066,208.16901166246876,210.98937965010882
Kill_13C_PP_1_T8,Kill_13C_PP,T8,672,38.5,100,22,1,0,143.219,692.1252634248815,0.06921252634248816,0.002820367987640066,2.820367987640066,206.33049787295946,209.1508658605995
Kill_13C_PP_1_T9,Kill_13C_PP,T9,768,41.5,100,22,1,0,148.115,746.0571021333138,0.07460571021333139,0.0030401369217418887,3.0401369217418885,219.81965195246175,222.85978887420364
Kill_13C_PP_2_T0,Kill_13C_PP,T0,0,61.9,100,22,1,0,125.571,1112.7936053506537,0.11127936053506537,0.004534565673634287,4.534565673634287,361.5383281053952,366.07289377902947
Kill_13C_PP_2_T1,Kill_13C_PP,T1,96,53.5,100,22,1,0,135.39,961.7844569670432,0.09617844569670432,0.003919212658149182,3.9192126581491817,308.517179315899,312.4363919740482
Kill_13C_PP_2_T2,Kill_13C_PP,T2,168,56.7,100,22,1,0,138.18,1019.311751589371,0.10193117515893711,0.004153632854524461,4.153632854524461,323.8925010549164,328.04613390944087
Kill_13C_PP_2_T3,Kill_13C_PP,T3,264,59,100,22,1,0,139.643,1060.6594945991692,0.10606594945991693,0.004322122370669192,4.322122370669192,332.85310471814466,337.17522708881387
Kill_13C_PP_2_T4,Kill_13C_PP,T4,336,59.1,100,22,1,0,142.325,1062.457222556117,0.1062457222556117,0.00432944800180592,4.32944800180592,330.34599420198685,334.6754422037928
Kill_13C_PP_2_T5,Kill_13C_PP,T5,432,59.9,100,22,1,0,141.134,1076.8390462116988,0.10768390462116989,0.004388053050899739,4.388053050899739,330.75535189441496,335.14340494531467
Kill_13C_PP_2_T6,Kill_13C_PP,T6,504,58.4,100,22,1,0,144.941,1049.8731268574827,0.10498731268574828,0.0042781685838488275,4.278168583848828,319.5647132450897,323.8428818289385
Kill_13C_PP_2_T7,Kill_13C_PP,T7,600,63.5,100,22,1,0,144.995,1141.5572526618175,0.11415572526618176,0.004651775771821926,4.651775771821926,343.34369456017566,347.9954703319976
Kill_13C_PP_2_T8,Kill_13C_PP,T8,672,66.5,100,22,1,0,127.507,1195.48909137025,0.119548909137025,0.00487154470592375,4.871544705923751,356.38904178056634,361.26058648649007
Kill_13C_PP_2_T9,Kill_13C_PP,T9,768,65.7,100,22,1,0,144.713,1181.107267714668,0.1181107267714668,0.00481293965682993,4.81293965682993,348.0036417657045,352.81658142253445
Kill_13C_PP_3_T0,Kill_13C_PP,T0,0,51,100,22,1,0,133.162,916.8412580433495,0.09168412580433495,0.0037360718797309956,3.7360718797309955,297.87487452948557,301.6109464092166
Kill_13C_PP_3_T1,Kill_13C_PP,T1,96,54.3,100,22,1,0,142.541,976.1662806226251,0.09761662806226251,0.003977817707243002,3.977817707243002,313.1305203150153,317.1083380222583
Kill_13C_PP_3_T2,Kill_13C_PP,T2,168,59.4,100,22,1,0,144.607,1067.85040642696,0.106785040642696,0.004351424895216101,4.351424895216101,339.31595348610284,343.66737838131894
Kill_13C_PP_3_T3,Kill_13C_PP,T3,264,60.7,100,22,1,0,145.66,1091.2208698672807,0.10912208698672808,0.004446658099993558,4.446658099993558,342.4437873964641,346.89044549645763
Kill_13C_PP_3_T4,Kill_13C_PP,T4,336,60.2,100,22,1,0,149.537,1082.2322300825422,0.10822322300825422,0.004410029944309921,4.410029944309922,336.4945660060847,340.90459595039465
Kill_13C_PP_3_T5,Kill_13C_PP,T5,432,61.6,100,22,1,0,146.143,1107.4004214798106,0.11074004214798107,0.0045125887802241055,4.512588780224106,340.14239860928154,344.65498738950566
Kill_13C_PP_3_T6,Kill_13C_PP,T6,504,67.9,100,22,1,0,147.182,1220.6572827675184,0.12206572827675184,0.0049741035418379344,4.974103541837934,371.5486991325614,376.5228026743994
Kill_13C_PP_3_T7,Kill_13C_PP,T7,600,73.6,100,22,1,0,151.834,1323.1277763135397,0.132312777631354,0.005391664516631398,5.391664516631399,397.95426645084933,403.34593096748074
Kill_13C_PP_3_T8,Kill_13C_PP,T8,672,67.3,100,22,1,0,135.229,1209.870915025832,0.12098709150258319,0.004930149755017569,4.9301497550175695,360.67642874935507,365.60657850437264
Kill_13C_PP_3_T9,Kill_13C_PP,T9,768,69.5,100,22,1,0,146.765,1249.4209300786822,0.12494209300786822,0.0050913136400255726,5.0913136400255725,368.13170628183354,373.22301992185913
